OR,OT
000024-04,Ordinance implementing a Single Registration Form and a One-Stop Shop Center Procedure for the whole year in the registration of business permits
000200-09,"AN ORDINANCE DECLARING BARANGAY MINTAL, TUGBOK DISTRICT, DAVAO CITY, AS A JAPANESE HERITAGE SITE IN RECOGNITION OF THE CULTURAL AND HISTORICAL BONDS BETWEEN THE PEOPLE OF JAPAN AND DAVAO CITY"
000509-16,"An Ordinance accepting the Deed of Donation of road lots and open spaces of Elenita Heights Subdivision, Phase II (altered portion), located in Barangay Catalunan Grande, Talomo District, this City, executed by Uraya Land Development, Inc., represented by its Vice President, Mr. Miguel P. Encarnacion Jr., in favor of the City Government of Davao, and authorizing the City Mayor to sign the Deed of Donation, for and in behalf of the City Government of Davao"
000512-16,"An Ordinance authorizing the City Mayor to utilize a portion of the Quick Response Fund (QRF) of the Disaster risk Reduction and Managment Fund (5% Calamity Fund) for Calendar Year 2016, in the amount of Thirty-One Million Five Hundred Thousand Pesos (P 31,500,000.00) for the purchase of Fifteen Thousand (15,000) sacks of rice as food assistance to the victims of drought and rat infestation as a result of the El Niño Phenomenon in the Province of Cotabato, subject to the submission of the exemption from the Commission on Elections (COMELEC), as amended"
000513-16,"An ordinance adopting/approving the Davao City Disaster Risk Reduction and management Fund Investment Plan (DCDRRMFIP) for Calendar Year 2016, as prepared and approved by the Davao City Disaster Risk Reduction and Management Council in the amount of Three Hundred Nine Million Four Hundred Fifty-Four Thousand Seven Hundred Seven Pesos (P309,454,707.00)"
000515-16,"An ordinance granting authority to the City Mayor to enter into and sign, for and in behalf of the City Government of Davao, the Joint Venture Agreement (JVA) to be entered into by and between the City Government of Davao and Mega Harbour Port and Development, Inc., relative to the Davao Coastline and Port Development Project"
000520-16,"An ordinance requiring supermarkets, gorcery stores and other establishments selling raw fish, seafoods meat, meat processed and other meat products, including suppliers thereto, to segregate Halal food from non-halal/haram food items, from delivery to storage display, weighing, slicing, carrying through baskets/carts/trolleys, until its final packing in the payment counter thereby establishing herein a ""Halal Lane"" for this purpose"
000489-16,"An Ordinance granting Legislative authority to Globe Telecommunications Inc. to install. provide, maintain and operate a 42.0 meters- high self support tower (SST)  at Purok 28, Barangay   Ma-a, Davao City, subject to the compliance of the regulatory fee provided for in Ordinance No. 0463-13"
000529-16,"An Ordinance authorizing the City Mayor to utilize a portion of the City Government of Davao`s five percent (5%) Disaster Risk Reduction and Management Fund (Calamity Fund) for Calendar Year 2016, in the amount of Thirty-two Million Five Hundred Thousand Pesos (P 32,500,000.00) as food assistance in the areas of Davao City declared under a state of calamity"
000836-93,An Ordinance adopting the established fees for the processing fees and other charges for subdivision applicants imposed by the Housing and Land Use Regulatory Board (HLURB) in consonance with the provisions of PD No. 957 and BP No. 220 and for other purposes
000835-93,"An Ordinance adopting the pertinent provisions RA 7160, otherwise known as The Local Government Code o f 1991, relative to the transfer of Jurisdiction over approval of subdivision applications and all related items covered under the said provision to the Local Government of Davao City."
